firstname,lastname,age,sex
Mary,Espinoza,83,Female
Mary,Chung,83,Female
Mary,Frank,83,Female
Mary,Curry,83,Female
Mary,Ayers,83,Female
Mary,Garrison,83,Other
Mary,Duran,83,Female
Mary,French,83,Female
Mary,Donovan,83,Female
Mary,Beltran,83,Female
Mary,Valentine,83,Female
Mary,Patton,83,Female
Mary,Lam,83,Other
Mary,Ritter,83,Female
Mary,Cooper,83,Female
Mary,Barker,83,Female
Mary,Curtis,83,Other
Mary,Bird,83,Female
Mary,Ayers,83,Female
Mary,Aguilar,83,Female
Mary,Kelly,83,Female
Mary,Schmitt,83,Female
Barbara,Weiss,83,Female
Barbara,Kline,83,Female
Dorothy,Macias,83,Female
Joan,Scott,83,Female
Helen,Burke,83,Other
Shirley,Snyder,83,Female
Robert,Cain,83,Other
Robert,Stone,83,Other
Robert,Caldwell,83,Male
Robert,Mcgee,83,Male
Robert,White,83,Other
Robert,Jennings,83,Male
Robert,Blackburn,83,Male
Robert,Park,83,Male
Robert,Lamb,83,Male
Robert,Mcdonald,83,Male
Robert,Boone,83,Male
Robert,Clayton,83,Male
Robert,Doyle,83,Male
Robert,Todd,83,Other
Robert,Duncan,83,Male
Robert,Mullen,83,Male
Robert,Valentine,83,Male
Robert,Friedman,83,Male
Robert,Shepherd,83,Male
Robert,Sweeney,83,Male
Robert,Horn,83,Male
Robert,Lam,83,Male
Robert,Wise,83,Male
Robert,Walters,83,Male
Robert,Porter,83,Male
Robert,Ellis,83,Male
Robert,Mcgee,83,Male
Robert,Benson,83,Male
Robert,Atkins,83,Other
Robert,Wolfe,83,Male
Robert,Wilkins,83,Male
Robert,Fields,83,Male
Robert,Payne,83,Male
Robert,Huynh,83,Male
Robert,Mitchell,83,Male
Robert,Acosta,83,Other
Robert,Gonzalez,83,Male
Robert,Malone,83,Male
Robert,Jensen,83,Other
Robert,Combs,83,Male
Robert,Gallegos,83,Male
Robert,Newton,83,Male
Robert,Frost,83,Male
Robert,Savage,83,Male
Robert,Cole,83,Other
Robert,Vazquez,83,Male
Robert,Carson,83,Male
Robert,Marquez,83,Male
Robert,Prince,83,Male
Robert,Dean,83,Male
Robert,Burton,83,Other
Robert,Kim,83,Male
James,Larson,83,Male
James,Tate,83,Male
James,Lamb,83,Male
John,Short,83,Male
John,Skinner,83,Male
John,Benson,83,Male
Richard,Stewart,83,Male
Richard,Massey,83,Male
Richard,Fischer,83,Male
Charles,Atkinson,83,Male
Donald,Kim,83,Male
Donald,Brown,83,Male
George,Rush,83,Male
Joseph,Mathews,83,Male
Joseph,Munoz,83,Male
Thomas,Hines,83,Male
Thomas,Garrett,83,Male
Edward,Dougherty,83,Male
Mary,Blackwell,82,Female
Mary,Herrera,82,Female
Mary,Rodriguez,82,Female
Mary,King,82,Female
Betty,Gaines,82,Female
Shirley,Scott,82,Female
Shirley,Moon,82,Female
Patricia,Frederick,82,Female
Joan,Bright,82,Female
Helen,Schultz,82,Other
Helen,Evans,82,Female
Robert,Mayo,82,Other
Robert,Prince,82,Male
Robert,Neal,82,Male
James,Norton,82,Male
James,Duarte,82,Other
John,Combs,82,Male
John,Arnold,82,Other
John,Mann,82,Male
John,Sloan,82,Male
John,Phillips,82,Male
John,Stevenson,82,Male
William,Garner,82,Other
William,Ellison,82,Male
William,Norris,82,Male
William,Espinoza,82,Male
William,Shea,82,Male
Richard,Rocha,82,Male
Richard,Myers,82,Male
Richard,Gonzalez,82,Other
Charles,Anthony,82,Male
Charles,Hurst,82,Male
George,Werner,82,Male
George,Vasquez,82,Male
Thomas,Maldonado,82,Male
Joseph,Wilkerson,82,Male
Ronald,Avila,82,Male
Edward,Burke,82,Male
Mary,Anderson,81,Female
Mary,Horne,81,Female
Shirley,Hinton,81,Female
Barbara,Cowan,81,Female
Barbara,Ferrell,81,Female
Barbara,Cohen,81,Female
Betty,Short,81,Female
Patricia,Riggs,81,Female
Dorothy,Hunter,81,Female
Joan,Weeks,81,Female
Joan,Wagner,81,Female
Margaret,Wilkinson,81,Female
Margaret,Waller,81,Other
Margaret,Hendrix,81,Female
Robert,Prince,81,Male
Robert,Hurley,81,Male
Robert,Meadows,81,Male
Robert,Hebert,81,Male
James,Patrick,81,Male
James,Bates,81,Male
John,Benton,81,Male
William,Lynn,81,Male
William,Richards,81,Male
Richard,Ward,81,Male
Richard,Rodgers,81,Male
Charles,Liu,81,Male
Charles,Tate,81,Male
Donald,House,81,Other
Donald,Spears,81,Male
Thomas,Rodgers,81,Male
Joseph,Potts,81,Male
Joseph,Farrell,81,Male
Edward,Foster,81,Male
Mary,Clayton,80,Female
Mary,Donaldson,80,Female
Mary,Bradley,80,Female
Mary,Avery,80,Female
Mary,Mckinney,80,Female
Mary,Myers,80,Female
Mary,Gibbs,80,Female
Mary,Kennedy,80,Female
Mary,Dennis,80,Other
Mary,Mcpherson,80,Female
Mary,Calderon,80,Female
Mary,Mathis,80,Female
Mary,Cooper,80,Female
Mary,Aguilar,80,Female
Mary,Frazier,80,Female
Mary,Jimenez,80,Female
Mary,Nash,80,Female
Mary,Simmons,80,Female
Mary,Ewing,80,Female
Mary,Holland,80,Female
Mary,Jarvis,80,Female
Mary,Hayden,80,Female
Mary,Ward,80,Female
Mary,Ballard,80,Female
Mary,Fritz,80,Female
Mary,Stanton,80,Female
Mary,Black,80,Female
Mary,Juarez,80,Female
Mary,Paul,80,Female
Mary,Marshall,80,Female
Mary,Hampton,80,Female
Mary,Browning,80,Female
Mary,Krause,80,Female
Mary,Gray,80,Female
Mary,Ho,80,Female
Mary,Duffy,80,Female
Mary,Delacruz,80,Female
Mary,Johns,80,Other
Mary,Ayers,80,Other
Mary,Cox,80,Female
Mary,Joyce,80,Female
Mary,Meyers,80,Female
Mary,Rocha,80,Female
Mary,Rocha,80,Female
Mary,Holt,80,Female
Mary,Summers,80,Female
Mary,Bailey,80,Female
Mary,Sanchez,80,Female
Mary,Henderson,80,Female
Mary,Sweeney,80,Female
Mary,Munoz,80,Female
Mary,Moran,80,Female
Mary,Gibson,80,Female
Mary,Murillo,80,Female
Mary,Oconnor,80,Female
Mary,Bentley,80,Female
Mary,Dalton,80,Female
Mary,Trujillo,80,Female
Mary,Thornton,80,Female
Mary,Serrano,80,Female
Mary,Blevins,80,Female
Mary,Cabrera,80,Female
Mary,Wolfe,80,Female
Shirley,Potter,80,Female
Shirley,Oliver,80,Female
Shirley,Brown,80,Female
Shirley,Larson,80,Female
Shirley,Mcguire,80,Female
Barbara,Oconnell,80,Female
Barbara,Rodgers,80,Female
Barbara,Guerrero,80,Female
Barbara,Dunlap,80,Female
Betty,Boyle,80,Female
Patricia,Holland,80,Female
Patricia,Jacobson,80,Female
Patricia,Barrera,80,Female
Joan,Solomon,80,Female
Joan,Robles,80,Female
Nancy,Mullen,80,Female
Nancy,Cooper,80,Female
Carol,Griffith,80,Female
Robert,Bass,80,Male
Robert,Wilkins,80,Male
Robert,Cruz,80,Male
Robert,Nunez,80,Male
Robert,Jacobson,80,Male
James,Richmond,80,Male
James,Collier,80,Male
John,Landry,80,Male
John,Gentry,80,Male
John,Barry,80,Male
John,Waller,80,Other
John,Lee,80,Male
William,Evans,80,Male
William,Dickson,80,Male
William,Jarvis,80,Other
William,Stein,80,Male
William,Greene,80,Male
Richard,Dennis,80,Male
Richard,Mata,80,Male
Charles,Potter,80,Male
Donald,Paul,80,Other
Donald,Rangel,80,Male
Thomas,Webb,80,Male
George,Stevens,80,Male
David,Watts,80,Other
Joseph,Ewing,80,Male
Ronald,Kaufman,80,Male
Edward,Schneider,80,Male
Edward,Blackwell,80,Male
Mary,Sosa,79,Female
Mary,Santos,79,Female
Mary,Hardy,79,Female
Mary,Clayton,79,Female
Mary,Velazquez,79,Female
Mary,Baker,79,Female
Mary,Acosta,79,Female
Mary,Valentine,79,Other
Mary,Lucero,79,Female
Mary,Zhang,79,Female
Mary,Hatfield,79,Female
Mary,Nixon,79,Female
Mary,Hess,79,Female
Mary,Solis,79,Female
Mary,Thornton,79,Female
Mary,Haynes,79,Female
Mary,Blackwell,79,Other
Mary,Lynn,79,Female
Mary,Harding,79,Female
Mary,Coffey,79,Other
Mary,Calderon,79,Female
Mary,Villa,79,Female
Mary,Schultz,79,Female
Mary,Copeland,79,Female
Mary,Blair,79,Female
Mary,Haney,79,Female
Mary,Marshall,79,Female
Mary,Vance,79,Female
Mary,Dawson,79,Female
Mary,Knapp,79,Female
Mary,Wise,79,Female
Mary,Arroyo,79,Female
Mary,Pineda,79,Other
Mary,Rhodes,79,Female
Mary,Grimes,79,Other
Mary,Mcdowell,79,Female
Mary,Flowers,79,Female
Mary,Huynh,79,Female
Mary,Solomon,79,Female
Mary,Cobb,79,Female
Mary,Carey,79,Female
Mary,Cain,79,Female
Mary,Boyer,79,Female
Mary,Warner,79,Female
Mary,Maynard,79,Female
Mary,Byrd,79,Other
Mary,Peck,79,Female
Mary,Nichols,79,Female
Mary,Duffy,79,Female
Mary,Holder,79,Female
Mary,Baird,79,Female
Mary,Neal,79,Female
Mary,Rocha,79,Female
Mary,Lin,79,Female
Mary,Lozano,79,Female
Mary,Fuentes,79,Female
Mary,Holmes,79,Female
Barbara,Shepherd,79,Female
Barbara,Shaffer,79,Other
Patricia,Maynard,79,Female
Patricia,Santana,79,Female
Shirley,Cooley,79,Female
Shirley,Decker,79,Female
Shirley,Cisneros,79,Female
Betty,Galloway,79,Female
Betty,Hamilton,79,Other
Betty,Mclaughlin,79,Female
Dorothy,Singh,79,Female
Dorothy,Steele,79,Female
Dorothy,Quinn,79,Female
Dorothy,Hester,79,Female
Joan,Hubbard,79,Female
Robert,Williamson,79,Other
Robert,Pratt,79,Male
Robert,Burke,79,Male
Robert,Lucas,79,Male
Robert,Booth,79,Male
Robert,Kane,79,Male
Robert,Shelton,79,Male
Robert,Gonzales,79,Male
Robert,Reid,79,Male
Robert,Hancock,79,Male
Robert,Fischer,79,Male
Robert,Hunter,79,Male
Robert,Dyer,79,Male
Robert,Goodman,79,Male
Robert,Burton,79,Male
Robert,Khan,79,Male
Robert,Haley,79,Male
Robert,Kaiser,79,Other
Robert,Pacheco,79,Male
Robert,Shannon,79,Male
Robert,Ochoa,79,Male
Robert,Hart,79,Male
Robert,Cooper,79,Male
Robert,Cameron,79,Male
Robert,Alvarado,79,Male
Robert,Townsend,79,Male
Robert,Craig,79,Male
Robert,Holder,79,Male
Robert,Haney,79,Male
Robert,Ingram,79,Male
Robert,Webster,79,Male
Robert,Gentry,79,Male
Robert,Dawson,79,Male
Robert,Turner,79,Male
Robert,Horne,79,Other
Robert,Wolfe,79,Male
Robert,Yoder,79,Male
Robert,Grant,79,Male
Robert,Villa,79,Male
Robert,Anderson,79,Other
Robert,Salinas,79,Male
Robert,Carey,79,Male
Robert,Pratt,79,Male
Robert,Underwood,79,Male
Robert,Mcgrath,79,Other
Robert,Shields,79,Male
Robert,Yates,79,Male
Robert,Salinas,79,Male
Robert,Phillips,79,Male
Robert,Cochran,79,Male
Robert,Diaz,79,Male
Robert,Leonard,79,Male
Robert,Mayo,79,Male
Robert,Lowe,79,Male
Robert,Franco,79,Male
Robert,Wilkerson,79,Male
Robert,Zavala,79,Male
Robert,Robinson,79,Male
Robert,Dudley,79,Male
Robert,Hines,79,Male
Robert,Sellers,79,Male
Robert,Martinez,79,Male
Robert,Richard,79,Male
Robert,Sutton,79,Male
Robert,Woodward,79,Male
James,Shields,79,Male
James,Randall,79,Male
James,Osborn,79,Male
James,Sanford,79,Male
John,Dillon,79,Male
John,Barajas,79,Male
William,Brown,79,Other
William,Hoover,79,Male
William,Swanson,79,Male
William,Meyers,79,Male
Richard,Holmes,79,Male
Charles,Oliver,79,Male
Charles,Mendoza,79,Male
Charles,Good,79,Male
Donald,Hughes,79,Male
Donald,Franco,79,Male
David,Stanley,79,Male
David,Roberts,79,Male
Thomas,Mccarty,79,Male
Ronald,Morse,79,Male
Joseph,Kirby,79,Male
Joseph,Hess,79,Male
Edward,Berry,79,Male
Mary,Cooke,78,Female
Mary,Edwards,78,Female
Barbara,Gomez,78,Female
Barbara,Banks,78,Female
Barbara,Mathis,78,Female
Patricia,Ayers,78,Female
Betty,Olsen,78,Female
Betty,Wu,78,Female
Shirley,Perkins,78,Female
Carol,Gomez,78,Female
Dorothy,Barton,78,Other
Margaret,Davies,78,Other
Joan,Kim,78,Female
Robert,Moody,78,Male
Robert,Stein,78,Male
Robert,Mann,78,Male
Robert,Waters,78,Male
Robert,Gibson,78,Male
James,Marquez,78,Male
John,Randolph,78,Male
John,Lam,78,Other
John,Trevino,78,Male
John,Charles,78,Male
Richard,Blair,78,Male
Richard,Richard,78,Male
Richard,Stevenson,78,Other
Richard,Mckinney,78,Other
Charles,Anderson,78,Male
Charles,Prince,78,Male
Charles,Owens,78,Other
David,Wheeler,78,Male
David,Lara,78,Male
Ronald,Clayton,78,Male
George,Tucker,78,Male
Joseph,Fernandez,78,Male
Paul,White,78,Male
Paul,Galvan,78,Other
Paul,Clayton,78,Male
Mary,Russo,77,Female
Mary,Bright,77,Female
Mary,Mosley,77,Female
Mary,Barrett,77,Female
Mary,Roberts,77,Female
Mary,Lopez,77,Female
Mary,Deleon,77,Female
Mary,Klein,77,Female
Mary,Farmer,77,Female
Mary,Bowman,77,Other
Mary,Frey,77,Female
Mary,Bauer,77,Female
Mary,Greene,77,Other
Mary,Fuentes,77,Female
Mary,Lewis,77,Female
Mary,Whitney,77,Female
Mary,Donovan,77,Female
Mary,Mullins,77,Female
Mary,Morris,77,Female
Mary,Schneider,77,Female
Mary,Ponce,77,Female
Mary,Curry,77,Other
Mary,Reid,77,Female
Mary,Aguirre,77,Female
Mary,Dyer,77,Female
Mary,Salinas,77,Female
Mary,Mccullough,77,Female
Mary,Carter,77,Female
Mary,Rush,77,Female
Mary,Mckenzie,77,Female
Mary,Brady,77,Female
Mary,Hendricks,77,Female
Mary,Walls,77,Female
Mary,Pennington,77,Female
Mary,Mays,77,Female
Mary,Savage,77,Female
Mary,Mcneil,77,Female
Mary,Rocha,77,Female
Mary,Stokes,77,Other
Mary,Mathis,77,Female
Mary,Luna,77,Female
Mary,Krause,77,Female
Mary,Gray,77,Female
Mary,Esparza,77,Female
Mary,Mosley,77,Female
Mary,Welch,77,Female
Mary,Cummings,77,Female
Mary,Mccarty,77,Female
Mary,Diaz,77,Female
Mary,Li,77,Female
Mary,Combs,77,Female
Barbara,Potts,77,Female
Barbara,Nolan,77,Female
Patricia,Duncan,77,Female
Shirley,Wheeler,77,Female
Carol,Campbell,77,Female
Nancy,Fletcher,77,Other
Nancy,Villanueva,77,Other
Joyce,Kelly,77,Female
Joyce,Hughes,77,Female
Robert,Gates,77,Male
Robert,Curtis,77,Male
Robert,Parks,77,Other
Robert,Solomon,77,Male
James,Schmidt,77,Other
James,Lloyd,77,Male
James,Beck,77,Male
James,Fowler,77,Male
James,Griffith,77,Male
James,Cooper,77,Male
James,Solomon,77,Male
James,Ochoa,77,Other
James,Ortega,77,Male
James,Maldonado,77,Male
John,Schultz,77,Male
John,Warren,77,Male
John,Castillo,77,Male
William,Matthews,77,Male
Richard,Rangel,77,Male
Richard,Santiago,77,Male
Charles,Hall,77,Male
Charles,Rowe,77,Male
David,Caldwell,77,Male
Donald,Yu,77,Male
Donald,Lucero,77,Other
Thomas,Walter,77,Male
Ronald,Waller,77,Male
Ronald,King,77,Male
George,Graves,77,Male
George,Shea,77,Male
Kenneth,Porter,77,Male
Larry,Perkins,77,Male
Larry,Montoya,77,Male
Mary,Davidson,76,Female
Mary,Richards,76,Female
Mary,Middleton,76,Female
Mary,Hendrix,76,Other
Mary,Crane,76,Female
Barbara,Vazquez,76,Female
Barbara,Newman,76,Female
Barbara,Kane,76,Female
Patricia,Pham,76,Female
Patricia,Bass,76,Female
Judith,Mullen,76,Female
Judith,Coffey,76,Female
Betty,Cortez,76,Other
Betty,Mcgrath,76,Female
Betty,Compton,76,Female
Carol,Holden,76,Female
Carol,Pugh,76,Female
Carol,Wong,76,Female
Linda,Guzman,76,Female
Shirley,Bentley,76,Female
Shirley,Leonard,76,Female
Sandra,Walter,76,Other
Sandra,Winters,76,Female
Margaret,Ferrell,76,Female
Joyce,Lester,76,Female
Joyce,Lambert,76,Female
James,Warren,76,Other
James,Mccarty,76,Male
James,Abbott,76,Male
James,Hester,76,Male
James,Vaughan,76,Male
James,Riddle,76,Male
James,Snow,76,Male
James,Singh,76,Other
James,Avery,76,Male
James,Padilla,76,Male
James,Moyer,76,Male
James,Stewart,76,Male
James,Stephenson,76,Male
James,Salazar,76,Male
James,Barker,76,Male
James,Giles,76,Male
James,Pruitt,76,Male
James,Cowan,76,Other
James,Mccann,76,Male
James,Cardenas,76,Male
James,Kelley,76,Male
James,Herman,76,Other
James,Byrd,76,Male
James,Drake,76,Male
James,Yu,76,Other
James,Snyder,76,Other
James,Simon,76,Male
James,Maynard,76,Male
James,Atkins,76,Male
James,Gonzalez,76,Male
James,Johns,76,Male
James,Ballard,76,Male
James,Shepherd,76,Male
James,Callahan,76,Male
James,Marks,76,Male
James,Ray,76,Male
James,Patton,76,Male
James,Estrada,76,Male
James,Stark,76,Male
James,Walters,76,Male
James,Lin,76,Male
James,Hammond,76,Male
James,Mendoza,76,Male
James,Rios,76,Male
James,Riley,76,Male
James,Lawson,76,Male
James,Sanford,76,Other
James,Dyer,76,Male
James,Fritz,76,Male
James,Barrett,76,Male
James,Johnson,76,Male
James,Cox,76,Male
